#00)t                         01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)theta                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
32                            -124.3211889428885            1.802905104998132             0.0009294602001243084         0.1419216726225228            -0.1223885373674624           11.76636696269026             0.5006957706735026            28.66311780748805             -0.1373195528700999           28.21562587877406             
32.5                          -125.8388783973483            1.865391345221548             0.0003345690444620533         0.1761828905197418            -0.0125626877820887           12.01662952386193             0.4888147287195095            22.25999385500708             -0.05549884274308092          -87.20958170168795            
33                            -126.1093051859389            1.919215258075119             0.0007775930528899761         -0.005682555166200888         0.03255159615440095           12.26289382100076             0.4790275782159512            12.83934067724253             -0.1236319925767593           -231.2107851019663            
33.5                          -125.2208877157611            1.958652751216549             0.001262304481111663          0.1009960618181079            0.04931711458762519           12.505420541379               0.4805074034329019            5.379489362158796             -0.1642364693172225           -350.9754809821855            
34                            -123.6694802280493            1.989767845579232             -0.0003994402327551174        0.01864944357401328           -0.04791189161243158          12.74530009538624             0.4749750823783116            0.8990431284364848            0.03509662002033553           -426.12531022622              
34.5                          -121.8219436558204            2.018215672726286             3.005137762728785e-06         0.1138949509182125            0.03266531731329699           12.9837713470918              0.4726583698320251            -0.7152280554475434           -0.0001179960838166849        -451.3036755394099            
35                            -119.9700143075864            2.046756769337063             -0.001247174522892055         0.08992672895595392           0.005068457487471848          13.22198791307026             0.4732567734698035            0.4536550676513109            -0.01210115147379476          -426.7214875131102            
35.5                          -118.3830653959664            2.077527170613135             -0.001196341473348064         0.0921634115013043            -0.01584248879188855          13.46143580496376             0.4852108589976927            4.145356044650775             -0.0639886183075542           -357.6505046473105            
36                            -117.3292476745319            2.113469682791724             -0.001193459185384278         0.04192175943323428           0.02480887943461455           13.70380197340521             0.4879023882373918            9.826084857047553             -0.1035072407797595           -254.3852372629325            
36.5                          -117.0761595706354            2.157610170576716             -0.002425953986984501         0.09826567263654352           -0.06190136582765596          13.9489621892806              0.4909300721184018            16.32311675524448             -0.2527632174833985           -136.4108039255753            
37                            -117.7548561464208            2.211767273889636             -0.003337719805292651         0.1243067877434715            0.05762419643700276           14.19744991799985             0.494823726361014             21.32777258599763             -0.343514130121948            -35.42307057359291            
37.5                          -119.0117779593419            2.269863052124127             -0.003766748542443109         0.1292751929362026            0.05212846151248725           14.44774846349851             0.5010231497297841            21.94838154783471             -0.3272837332862777           13.388746842637               
38                            -120.2177195573695            2.326696668693596             -0.005564601027712265         0.1759456453437932            0.01429856375168045           14.69885645561874             0.5062819323464913            17.76627074790728             -0.3589922207339871           4.087771436452115             
38.5                          -120.8764966656199            2.376171070994359             -0.00658996161286693          0.03903707451793688           -0.009268253831496702         14.94917130898737             0.4972935677228754            11.26080707782343             -0.2850710152079343           -37.47944913525981            
39                            -120.9427460310408            2.415194542738341             -0.007665970482210059         0.09891518328048721           -0.03502869335653978          15.19811711731253             0.4967755851979673            5.374086229765896             -0.193320600550785            -79.8507756585866             
39.5                          -120.6348394126159            2.448799211596122             -0.008546716172225233         0.06903415619445015           -0.01857409854042602          15.44630156191529             0.4856078018526455            1.332796691113538             -0.07927784347916456          -109.3028680956498            
39.999                        -120.1454280257415            2.475507806630725             -0.006758446642068447         0.04607619144269754           -0.02914664534927374          15.6936113256586              0.5034892676191022            -0.3710911871695082           0.03444760625533583           -118.7775040837196            
